,sl_no,ssc_p,hsc_p,degree_p,etest_p,mba_p,salary,gender_M,ssc_b_Others,hsc_b_Others,hsc_s_Commerce,hsc_s_Science,degree_t_Others,degree_t_Sci&Tech,workex_Yes,specialisation_Mkt&HR,status_Placed
0,1,67.0,91.0,58.0,55.0,58.8,270000.0,1,1,1,1,0,0,1,0,1,1
1,2,79.33,78.33,77.48,86.5,66.28,200000.0,1,0,1,0,1,0,1,1,0,1
2,3,65.0,68.0,64.0,75.0,57.8,250000.0,1,0,0,0,0,0,0,0,0,1
3,4,56.0,52.0,52.0,66.0,59.43,,1,0,0,0,1,0,1,0,1,0
4,5,85.8,73.6,73.3,96.8,55.5,425000.0,1,0,0,1,0,0,0,0,0,1
5,6,55.0,49.8,67.25,55.0,51.58,,1,1,1,0,1,0,1,1,0,0
6,7,46.0,49.2,79.0,74.28,53.29,,0,1,1,1,0,0,0,0,0,0
7,8,82.0,64.0,66.0,67.0,62.14,252000.0,1,0,0,0,1,0,1,1,0,1
8,9,73.0,79.0,72.0,91.34,61.29,231000.0,1,0,0,1,0,0,0,0,0,1
9,10,58.0,70.0,61.0,54.0,52.21,,1,0,0,1,0,0,0,0,0,0
10,11,58.0,61.0,60.0,62.0,60.85,260000.0,1,0,0,1,0,0,0,1,1,1
11,12,69.6,68.4,78.3,60.0,63.7,250000.0,1,0,0,1,0,0,0,1,0,1
12,13,47.0,55.0,65.0,62.0,65.04,,0,0,1,0,1,0,0,0,1,0
13,14,77.0,87.0,59.0,68.0,68.63,218000.0,0,0,0,1,0,0,0,0,0,1
14,15,62.0,47.0,50.0,76.0,54.96,,1,0,0,1,0,0,0,0,1,0
15,16,65.0,75.0,69.0,72.0,64.66,200000.0,0,0,0,1,0,0,0,1,0,1
16,17,63.0,66.2,65.6,60.0,62.54,300000.0,1,0,0,1,0,0,0,1,0,1
17,18,55.0,67.0,64.0,60.0,67.28,,0,0,0,1,0,0,0,0,0,0
18,19,63.0,66.0,64.0,68.0,64.08,,0,0,0,1,0,0,0,0,1,0
19,20,60.0,67.0,70.0,50.48,77.89,236000.0,1,1,1,0,0,0,0,1,0,1
20,21,62.0,65.0,66.0,50.0,56.7,265000.0,1,1,1,1,0,0,0,0,1,1
21,22,79.0,76.0,85.0,95.0,69.06,393000.0,0,1,1,1,0,0,0,0,0,1
22,23,69.8,60.8,72.23,55.53,68.81,360000.0,0,1,1,0,1,0,1,0,1,1
23,24,77.4,60.0,64.74,92.0,63.62,300000.0,0,1,1,0,1,0,1,1,0,1
24,25,76.5,97.7,78.86,97.4,74.01,360000.0,1,1,1,0,1,0,1,0,0,1
25,26,52.58,54.6,50.2,76.0,65.33,,0,1,0,1,0,0,0,1,0,0
26,27,71.0,79.0,66.0,94.0,57.55,240000.0,1,1,1,1,0,0,0,1,0,1
27,28,63.0,67.0,66.0,68.0,57.69,265000.0,1,1,1,1,0,0,0,0,1,1
28,29,76.76,76.5,67.5,73.35,64.15,350000.0,1,1,1,1,0,0,0,1,0,1
29,30,62.0,67.0,58.0,77.0,51.29,,1,0,0,1,0,0,0,0,0,0
30,31,64.0,73.5,73.0,52.0,56.7,250000.0,0,0,0,1,0,0,0,0,1,1
31,32,67.0,53.0,65.0,64.0,58.32,,0,0,0,0,1,0,1,0,1,0
32,33,61.0,81.0,66.4,50.89,62.21,278000.0,0,0,0,1,0,0,0,0,1,1
33,34,87.0,65.0,81.0,88.0,72.78,260000.0,0,1,1,0,1,0,0,1,0,1
34,35,62.0,51.0,52.0,68.44,62.77,,1,1,1,0,1,1,0,0,1,0
35,36,69.0,78.0,72.0,71.0,62.74,300000.0,0,0,0,1,0,0,0,0,1,1
36,37,51.0,44.0,57.0,64.0,51.45,,1,0,0,1,0,0,0,0,0,0
37,38,79.0,76.0,65.6,58.0,55.47,320000.0,0,0,0,0,1,0,1,0,1,1
38,39,73.0,58.0,66.0,53.7,56.86,240000.0,0,1,1,0,1,0,0,0,1,1
39,40,81.0,68.0,64.0,93.0,62.56,411000.0,1,1,1,0,1,0,1,0,0,1
40,41,78.0,77.0,80.0,60.0,66.72,287000.0,0,0,1,1,0,0,0,0,0,1
41,42,74.0,63.16,65.0,65.0,69.76,,0,1,1,1,0,0,0,1,1,0
42,43,49.0,39.0,65.0,63.0,51.21,,1,1,0,0,1,1,0,0,0,0
43,44,87.0,87.0,68.0,95.0,62.9,300000.0,1,1,1,1,0,0,0,0,1,1
44,45,77.0,73.0,81.0,89.0,69.7,200000.0,0,1,1,1,0,0,0,1,0,1
45,46,76.0,64.0,72.0,58.0,66.53,,0,0,0,0,1,0,1,0,1,0
46,47,70.89,71.98,65.6,68.0,71.63,,0,1,1,0,1,0,0,0,1,0
47,48,63.0,60.0,57.0,78.0,54.55,204000.0,1,0,0,1,0,0,0,1,0,1
48,49,63.0,62.0,68.0,64.0,62.46,250000.0,1,1,1,1,0,0,0,0,0,1
49,50,50.0,37.0,52.0,65.0,56.11,,0,1,1,0,0,1,0,0,1,0
50,51,75.2,73.2,68.4,65.0,62.98,200000.0,0,0,0,0,1,0,0,0,1,1
51,52,54.4,61.12,56.2,67.0,62.65,,1,0,0,1,0,0,0,0,1,0
52,53,40.89,45.83,53.0,71.2,65.49,,0,1,1,1,0,0,0,0,1,0
53,54,80.0,70.0,72.0,87.0,71.04,450000.0,1,1,1,0,1,0,1,0,1,1
54,55,74.0,60.0,69.0,78.0,65.56,216000.0,0,0,1,0,1,0,0,0,1,1
55,56,60.4,66.6,65.0,71.0,52.71,220000.0,1,0,1,0,1,0,0,0,1,1
56,57,63.0,71.4,61.4,68.0,66.88,240000.0,1,1,1,1,0,0,0,0,0,1
57,58,68.0,76.0,74.0,80.0,63.59,360000.0,1,0,0,1,0,0,0,0,0,1
58,59,74.0,62.0,68.0,74.0,57.99,268000.0,1,0,1,0,1,0,0,0,0,1
59,60,52.6,65.58,72.11,57.6,56.66,265000.0,1,0,1,0,1,0,1,0,0,1
60,61,74.0,70.0,72.0,60.0,57.24,260000.0,1,0,0,0,1,0,0,1,0,1
61,62,84.2,73.4,66.89,61.6,62.48,300000.0,1,0,0,1,0,0,0,0,0,1
62,63,86.5,64.2,67.4,59.0,59.69,240000.0,0,1,1,0,1,0,1,0,0,1
63,64,61.0,70.0,64.0,68.5,59.5,,1,1,1,1,0,0,0,0,1,0
64,65,80.0,73.0,75.0,61.0,58.78,240000.0,1,1,1,1,0,0,0,0,0,1
65,66,54.0,47.0,57.0,89.69,57.1,,1,1,1,0,1,0,0,0,1,0
66,67,83.0,74.0,66.0,68.92,58.46,275000.0,1,1,1,0,1,0,0,0,1,1
67,68,80.92,78.5,67.0,68.71,60.99,275000.0,1,1,1,1,0,0,0,0,0,1
68,69,69.7,47.0,72.7,79.0,59.24,,0,0,0,1,0,0,1,0,1,0
69,70,73.0,73.0,66.0,70.0,68.07,275000.0,1,0,0,0,1,0,1,1,0,1
70,71,82.0,61.0,62.0,89.0,65.45,360000.0,1,1,1,0,1,0,1,0,0,1
71,72,75.0,70.29,71.0,95.0,66.94,240000.0,1,1,1,1,0,0,0,0,0,1
72,73,84.86,67.0,78.0,95.5,68.53,240000.0,1,1,1,0,1,0,0,0,0,1
73,74,64.6,83.83,71.72,86.0,59.75,218000.0,1,0,1,1,0,0,0,0,0,1
74,75,56.6,64.8,70.2,84.27,67.2,336000.0,1,0,0,1,0,0,0,0,0,1
75,76,59.0,62.0,77.5,74.0,67.0,,0,0,1,1,0,0,0,0,1,0
76,77,66.5,70.4,71.93,61.0,64.27,230000.0,0,1,0,0,0,0,0,0,0,1
77,78,64.0,80.0,65.0,69.0,57.65,500000.0,1,1,1,0,1,0,1,1,0,1
78,79,84.0,90.9,64.5,86.04,59.42,270000.0,1,1,1,0,1,0,1,0,0,1
79,80,69.0,62.0,66.0,75.0,67.99,,0,0,0,0,1,0,1,0,1,0
80,81,69.0,62.0,69.0,67.0,62.35,240000.0,0,1,1,1,0,0,0,1,1,1
81,82,81.7,63.0,67.0,86.0,70.2,300000.0,1,1,1,0,1,0,0,1,0,1
82,83,63.0,67.0,74.0,82.0,60.44,,1,0,0,1,0,0,0,0,0,0
83,84,84.0,79.0,68.0,84.0,66.69,300000.0,1,1,1,0,1,0,1,1,0,1
84,85,70.0,63.0,70.0,55.0,62.0,300000.0,1,0,1,0,1,0,1,1,0,1
85,86,83.84,89.83,77.2,78.74,76.18,400000.0,0,1,1,1,0,0,0,1,0,1
86,87,62.0,63.0,64.0,67.0,57.03,220000.0,1,1,1,1,0,0,0,0,0,1
87,88,59.6,51.0,60.0,75.0,59.08,,1,0,0,0,1,1,0,0,1,0
88,89,66.0,62.0,73.0,58.0,64.36,210000.0,0,0,0,1,0,0,0,0,1,1
89,90,84.0,75.0,69.0,62.0,62.36,210000.0,0,1,1,0,1,0,1,1,1,1
90,91,85.0,90.0,82.0,92.0,68.03,300000.0,0,1,1,1,0,0,0,0,0,1
91,92,52.0,57.0,50.8,67.0,62.79,,1,0,0,1,0,0,0,0,1,0
92,93,60.23,69.0,66.0,72.0,59.47,230000.0,0,0,0,0,1,0,0,0,0,1
93,94,52.0,62.0,54.0,72.0,55.41,,1,0,0,1,0,0,0,0,1,0
94,95,58.0,62.0,64.0,53.88,54.97,260000.0,1,0,0,1,0,0,0,0,0,1
95,96,73.0,78.0,65.0,95.46,62.16,420000.0,1,0,1,1,0,0,0,1,0,1
96,97,76.0,70.0,76.0,66.0,64.44,300000.0,0,0,0,0,1,0,0,1,0,1
97,98,70.5,62.5,61.0,93.91,69.03,,0,0,1,1,0,0,0,0,0,0
98,99,69.0,73.0,65.0,70.0,57.31,220000.0,0,0,0,1,0,0,0,0,0,1
99,100,54.0,82.0,63.0,50.0,59.47,,1,0,1,1,0,0,1,0,0,0
100,101,45.0,57.0,58.0,56.39,64.95,,0,1,1,1,0,0,0,1,1,0
101,102,63.0,72.0,68.0,78.0,60.44,380000.0,1,0,0,1,0,0,0,0,1,1
102,103,77.0,61.0,68.0,57.5,61.31,300000.0,0,1,1,1,0,0,0,1,0,1
103,104,73.0,78.0,73.0,85.0,65.83,240000.0,1,0,0,0,1,0,1,1,1,1
104,105,69.0,63.0,65.0,55.0,58.23,360000.0,1,0,1,0,1,0,0,1,1,1
105,106,59.0,64.0,58.0,85.0,55.3,,1,0,1,0,1,0,1,0,1,0
106,107,61.08,50.0,54.0,71.0,65.69,,1,1,1,0,1,0,1,0,0,0
107,108,82.0,90.0,83.0,80.0,73.52,200000.0,1,1,1,1,0,0,0,0,1,1
108,109,61.0,82.0,69.0,84.0,58.31,300000.0,1,0,0,1,0,0,0,0,0,1
109,110,52.0,63.0,65.0,86.0,56.09,,1,0,1,0,1,0,1,1,1,0
110,111,69.5,70.0,72.0,57.2,54.8,250000.0,0,0,0,0,1,0,1,0,1,1
111,112,51.0,54.0,61.0,60.0,60.64,,1,1,1,0,1,0,1,0,1,0
112,113,58.0,61.0,61.0,58.0,53.94,250000.0,1,1,1,1,0,0,0,0,1,1
113,114,73.96,79.0,67.0,72.15,63.08,280000.0,0,1,1,1,0,0,0,0,0,1
114,115,65.0,68.0,69.0,53.7,55.01,250000.0,1,0,1,0,1,0,0,0,1,1
115,116,73.0,63.0,66.0,89.0,60.5,216000.0,0,1,1,0,1,0,0,0,0,1
116,117,68.2,72.8,66.6,96.0,70.85,300000.0,1,0,0,1,0,0,0,1,0,1
117,118,77.0,75.0,73.0,80.0,67.05,240000.0,1,1,1,0,1,0,1,0,0,1
118,119,76.0,80.0,78.0,97.0,70.48,276000.0,1,0,0,0,1,0,1,1,1,1
119,120,60.8,68.4,64.6,82.66,64.34,940000.0,1,0,0,1,0,0,0,1,0,1
120,121,58.0,40.0,59.0,73.0,58.81,,1,1,1,0,1,0,0,0,1,0
121,122,64.0,67.0,69.6,55.67,71.49,250000.0,0,0,1,0,1,0,1,1,1,1
122,123,66.5,66.8,69.3,80.4,71.0,236000.0,0,0,0,0,0,0,0,1,0,1
123,124,74.0,59.0,73.0,60.0,56.7,240000.0,1,1,1,1,0,0,0,1,1,1
124,125,67.0,71.0,64.33,64.0,61.26,250000.0,1,0,0,0,1,1,0,1,1,1
125,126,84.0,73.0,73.0,75.0,73.33,350000.0,0,0,0,1,0,0,0,0,0,1
126,127,79.0,61.0,75.5,70.0,68.2,210000.0,0,1,1,0,1,0,1,1,0,1
127,128,72.0,60.0,69.0,55.5,58.4,250000.0,0,1,1,0,1,0,0,0,1,1
128,129,80.4,73.4,77.72,81.2,76.26,400000.0,1,0,0,0,1,0,1,1,1,1
129,130,76.7,89.7,66.0,90.0,68.55,250000.0,1,0,1,1,0,0,0,1,0,1
130,131,62.0,65.0,60.0,84.0,64.15,,1,0,1,1,0,0,0,0,0,0
131,132,74.9,57.0,62.0,80.0,60.78,360000.0,0,1,1,0,1,1,0,1,0,1
132,133,67.0,68.0,64.0,74.4,53.49,300000.0,1,1,1,1,0,0,0,1,1,1
133,134,73.0,64.0,77.0,65.0,60.98,250000.0,1,0,1,1,0,0,0,1,1,1
134,135,77.44,92.0,72.0,94.0,67.13,250000.0,0,0,1,1,0,0,0,1,0,1
135,136,72.0,56.0,69.0,55.6,65.63,200000.0,0,0,1,0,1,0,0,0,1,1
136,137,47.0,59.0,64.0,78.0,61.58,,0,0,0,0,0,0,0,0,0,0
137,138,67.0,63.0,72.0,56.0,60.41,225000.0,1,1,0,1,0,0,0,0,1,1
138,139,82.0,64.0,73.0,96.0,71.77,250000.0,0,1,1,0,1,0,1,1,0,1
139,140,77.0,70.0,59.0,58.0,54.43,220000.0,1,0,0,1,0,0,0,1,0,1
140,141,65.0,64.8,69.5,56.0,56.94,265000.0,1,0,1,1,0,0,0,1,0,1
141,142,66.0,64.0,60.0,60.0,61.9,,1,0,0,0,1,0,0,0,1,0
142,143,85.0,60.0,73.43,60.0,61.29,260000.0,1,0,1,0,1,0,1,1,0,1
143,144,77.67,64.89,70.67,89.0,60.39,300000.0,1,1,1,1,0,0,0,0,0,1
144,145,52.0,50.0,61.0,60.0,58.52,,1,1,1,0,0,0,0,0,0,0
145,146,89.4,65.66,71.25,72.0,63.23,400000.0,1,1,1,0,1,0,1,0,1,1
146,147,62.0,63.0,66.0,85.0,55.14,233000.0,1,0,1,0,1,0,0,0,1,1
147,148,70.0,74.0,65.0,83.0,62.28,300000.0,1,0,0,1,0,0,0,0,0,1
148,149,77.0,86.0,56.0,57.0,64.08,240000.0,0,0,0,0,0,1,0,0,0,1
149,150,44.0,58.0,55.0,64.25,58.54,,1,0,0,0,0,0,0,1,1,0
150,151,71.0,58.66,58.0,56.0,61.3,690000.0,1,0,0,0,1,0,1,1,0,1
151,152,65.0,65.0,75.0,83.0,58.87,270000.0,1,0,0,1,0,0,0,0,0,1
152,153,75.4,60.5,84.0,98.0,65.25,240000.0,0,1,0,0,1,0,1,0,0,1
153,154,49.0,59.0,65.0,86.0,62.48,340000.0,1,1,1,0,1,0,1,1,0,1
154,155,53.0,63.0,60.0,70.0,53.2,250000.0,1,0,1,0,1,0,0,1,0,1
155,156,51.57,74.66,59.9,56.15,65.99,,1,1,1,1,0,0,0,1,1,0
156,157,84.2,69.4,65.0,80.0,52.72,255000.0,1,0,0,0,1,0,1,1,1,1
157,158,66.5,62.5,60.9,93.4,55.03,300000.0,1,0,0,1,0,0,0,0,0,1
158,159,67.0,63.0,64.0,60.0,61.87,,1,1,1,0,1,0,1,0,0,0
159,160,52.0,49.0,58.0,62.0,60.59,,1,0,1,1,0,0,0,0,1,0
160,161,87.0,74.0,65.0,75.0,72.29,300000.0,1,0,0,0,1,0,1,1,1,1
161,162,55.6,51.0,57.5,57.63,62.72,,1,1,1,1,0,0,0,0,1,0
162,163,74.2,87.6,77.25,75.2,66.06,285000.0,1,0,1,1,0,0,0,1,0,1
163,164,63.0,67.0,64.0,75.0,66.46,500000.0,1,1,1,0,1,0,1,0,0,1
164,165,67.16,72.5,63.35,53.04,65.52,250000.0,0,0,0,1,0,0,0,0,0,1
165,166,63.3,78.33,74.0,80.0,74.56,,0,0,1,1,0,0,0,0,0,0
166,167,62.0,62.0,60.0,63.0,52.38,240000.0,1,1,1,1,0,0,0,1,1,1
167,168,67.9,62.0,67.0,58.1,75.71,,1,1,1,0,1,0,1,1,0,0
168,169,48.0,51.0,58.0,60.0,58.79,,0,0,0,1,0,0,0,1,1,0
169,170,59.96,42.16,61.26,54.48,65.48,,1,1,1,0,1,0,1,0,1,0
170,171,63.4,67.2,60.0,58.06,69.28,,0,1,1,1,0,0,0,0,1,0
171,172,80.0,80.0,72.0,63.79,66.04,290000.0,1,1,1,1,0,0,0,1,0,1
172,173,73.0,58.0,56.0,84.0,52.64,300000.0,1,1,1,1,0,0,0,0,1,1
173,174,52.0,52.0,55.0,67.0,59.32,,0,1,1,0,1,0,1,0,1,0
174,175,73.24,50.83,64.27,64.0,66.23,500000.0,1,1,1,0,1,0,1,1,0,1
175,176,63.0,62.0,65.0,87.5,60.69,,1,1,1,0,1,0,1,0,1,0
176,177,59.0,60.0,56.0,55.0,57.9,220000.0,0,0,1,1,0,0,0,0,1,1
177,178,73.0,97.0,79.0,89.0,70.81,650000.0,0,0,1,1,0,0,0,1,0,1
178,179,68.0,56.0,68.0,73.0,68.07,350000.0,1,1,1,0,1,0,1,0,1,1
179,180,77.8,64.0,64.2,75.5,72.14,,0,0,0,0,1,0,1,0,1,0
180,181,65.0,71.5,62.8,57.0,56.6,265000.0,1,0,1,1,0,0,0,1,0,1
181,182,62.0,60.33,64.21,63.0,60.02,,1,0,1,0,1,0,1,0,1,0
182,183,52.0,65.0,57.0,75.0,59.81,,1,1,1,0,0,1,0,1,0,0
183,184,65.0,77.0,69.0,60.0,61.82,276000.0,1,0,0,1,0,0,0,0,1,1
184,185,56.28,62.83,59.79,60.0,57.29,,0,1,1,1,0,0,0,0,1,0
185,186,88.0,72.0,78.0,82.0,71.43,252000.0,0,0,0,0,1,1,0,0,1,1
186,187,52.0,64.0,61.0,55.0,62.93,,0,0,0,1,0,0,0,0,0,0
187,188,78.5,65.5,67.0,95.0,64.86,280000.0,1,0,0,0,1,0,1,1,0,1
188,189,61.8,47.0,54.38,57.0,56.13,,1,1,1,1,0,0,0,0,0,0
189,190,54.0,77.6,69.2,95.65,66.94,,0,0,1,1,0,0,0,0,0,0
190,191,64.0,70.2,61.0,50.0,62.5,,0,1,0,1,0,0,0,0,0,0
191,192,67.0,61.0,72.0,72.0,61.01,264000.0,1,1,0,0,1,0,0,0,0,1
192,193,65.2,61.4,64.8,93.4,57.34,270000.0,1,0,0,1,0,0,0,1,0,1
193,194,60.0,63.0,56.0,80.0,56.63,300000.0,0,0,0,0,0,1,0,1,1,1
194,195,52.0,55.0,56.3,59.0,64.74,,1,1,1,1,0,0,0,0,0,0
195,196,66.0,76.0,72.0,84.0,58.95,275000.0,1,0,0,1,0,0,0,1,1,1
196,197,72.0,63.0,77.5,78.0,54.48,250000.0,1,1,1,0,1,0,1,1,0,1
197,198,83.96,53.0,91.0,59.32,69.71,260000.0,0,1,1,0,1,0,1,0,1,1
198,199,67.0,70.0,65.0,88.0,71.96,,0,0,0,1,0,1,0,0,1,0
199,200,69.0,65.0,57.0,73.0,55.8,265000.0,1,1,1,1,0,0,0,0,1,1
200,201,69.0,60.0,65.0,87.55,52.81,300000.0,1,1,1,1,0,0,0,0,0,1
201,202,54.2,63.0,58.0,79.0,58.44,,1,0,1,0,1,0,0,0,1,0
202,203,70.0,63.0,66.0,61.28,60.11,240000.0,1,0,0,0,1,0,1,0,1,1
203,204,55.68,61.33,56.87,66.0,58.3,260000.0,1,1,1,1,0,0,0,0,1,1
204,205,74.0,73.0,73.0,80.0,67.69,210000.0,0,1,1,1,0,0,0,1,0,1
205,206,61.0,62.0,65.0,62.0,56.81,250000.0,1,1,1,1,0,0,0,0,0,1
206,207,41.0,42.0,60.0,97.0,53.39,,1,0,0,0,1,0,0,0,0,0
207,208,83.33,78.0,61.0,88.56,71.55,300000.0,1,0,1,1,0,0,0,1,0,1
208,209,43.0,60.0,65.0,92.66,62.92,,0,0,1,0,1,0,0,0,1,0
209,210,62.0,72.0,65.0,67.0,56.49,216000.0,1,0,0,1,0,0,0,0,0,1
210,211,80.6,82.0,77.6,91.0,74.49,400000.0,1,1,1,1,0,0,0,0,0,1
211,212,58.0,60.0,72.0,74.0,53.62,275000.0,1,1,1,0,1,0,1,0,0,1
212,213,67.0,67.0,73.0,59.0,69.72,295000.0,1,1,1,1,0,0,0,1,0,1
213,214,74.0,66.0,58.0,70.0,60.23,204000.0,0,1,1,1,0,0,0,0,1,1
214,215,62.0,58.0,53.0,89.0,60.22,,1,0,1,0,1,0,0,0,1,0
